name,teff,teff_lerr,teff_uerr,lam,lam_lerr,lam_uerr,psi,psi_lerr,psi_uerr,inc,inc_lerr,inc_uerr,isMulti
AU Mic b,3665.0,-31.0,31.0,4.7,-6.8,6.4,12.1,-7.5,11.3,90.0,-19.5,0.0,1.0
Kepler-9 b,5774.0,-60.0,60.0,13.0,16.0,16.0,28.1,-13.6,13.0,71.9,-8.8,18.1,1.0
WASP-148 b,5555.0,-90.0,90.0,8.2,-8.7,9.7,-999.0,-999.0,-999.0,89.3,-0.24,0.24,1.0
TOI-5126 b,6253,84,84,1.0,-48.0,48.0,36.1,-31.4,19.6,89.45,-0.53,0.39,1.0
TOI-5398 b,6028,81,82,-8.0,-6.3,5.3,16.4,-10.3,7.6,89.41,-0.23,0.26,1.0
GJ 436 b,3586.11,-36.37,36.37,72.0,-24.0,33.0,80.0,-18.0,21.0,86.858,0.052,0.049,0.0
HAT-P-11 b,4780.0,-50.0,50.0,103.0,-10.0,26.0,97.0,-4.0,8.0,67.0,-4.0,2.0,0.0
HAT-P-12 b,4650.0,-60.0,60.0,54.0,-41.0,13.0,-999.0,-999.0,-999.0,89.0,-0.4,0.4,0.0
HD 332231 b,6089.0,-96.0,97.0,2.0,6.0,6.0,-999.0,-999.0,-999.0,89.68,-0.28,0.22,0.0
HIP 67522 b,5675.0,-75.0,75.0,5.8,-5.7,2.8,20.2,-10.3,8.7,90.0,-5.0,0.0,0.0
K2-25 b,3207.0,-58.0,58.0,3.0,16.0,16.0,13.8,-7.8,10.1,90.0,-11.8,0.0,0.0
WASP-39 b,5400.0,,150.0,0.0,11.0,11.0,-999.0,-999.0,-999.0,87.83,-0.22,0.25,0.0
WASP-69 b,4700.0,-50.0,50.0,0.4,-1.9,2.0,3.8,-2.7,18.5,90.0,-21.5,0.0,0.0
WASP-107 b,4425.0,-70.0,70.0,112.6,-20.6,24.9,92.6,1.8,30.7,89.887,0.097,0.074,0.0
WASP-166 b,6050.0,-50.0,50.0,3.0,5.0,5.0,10.1,-5.9,16.7,90.0,-23.8,0.0,0.0
K2-105 b,5636.0,-52.0,49.0,-81.0,47.0,50.0,-999.0,-999.0,-999.0,88.865,-0.9390000000000001,0.7390000000000001,0.0
HD 89345 b,5576.0,-76.0,73.0,74.0,33.0,34.0,80.0,-23.0,22.0,87.21,-0.22,0.43,0.0
KELT-11 b,5375.0,-25.0,25.0,-77.9,2.3,2.4,-999.0,-999.0,-999.0,85.3,-0.2,0.2,0.0
TOI-1842 b,6230.0,-50.0,50.0,-68.0,15.0,21.0,73.0,-13.0,16.0,88.4,-1.5,0.9,0.0
TOI-1859 b,6341.0,-70.0,68.0,38.9,2.7,2.8,-999.0,-999.0,-999.0,88.64,-0.28,0.38,0.0
WASP-131 b,6030.0,-90.0,90.0,162.4,1.2,1.3,123.7,-8.0,12.8,85.0,-0.3,0.3,0.0
WASP-156 b,4910.0,-61.0,61.0,106.0,14.0,14.0,-999.0,-999.0,-999.0,89.1,-0.9,0.6,0.0
